Sample,Altitude_m,Mach,Velocity_mps,Velocity_mps_noisy,Static_T_K,Static_P_Pa,Density_kgpm3,DynPressure_Pa,DynPressure_Pa_noisy,Tot_T_K,Tot_T_K_noisy,Tot_P_Pa,Tot_P_Pa_noisy,SpeedOfSound_mps
0,10000.0,0.3,89.83850034923779,90.06465703386824,223.14999999999998,26435.887460311165,0.4127047353692698,1665.4609099996032,1584.2116274892971,227.1667,227.2016844987689,28139.159254085884,28996.592948869762,299.46166783079263
1,10000.0,0.31717171717171716,94.98077141299888,94.20890999412055,223.14999999999998,26435.887460311165,0.4127047353692698,1861.5763004038236,2140.7191343111936,227.63968419549022,227.78554841309665,28344.753584478432,27583.36516369428,299.46166783079263
2,10000.0,0.33434343434343433,100.12304247675996,100.68001668561405,223.14999999999998,26435.887460311165,0.4127047353692698,2068.6048221889664,1992.0605114849557,228.1389882971125,228.14837605331408,28562.950339567607,28991.743087772087,299.46166783079263
3,10000.0,0.3515151515151515,105.26531354052105,105.96338730163365,223.14999999999998,26435.887460311165,0.4127047353692698,2286.5464753550314,2445.0037581770894,228.66461230486684,228.73134682617717,28793.94246726394,28630.866911663154,299.46166783079263
4,10000.0,0.3686868686868687,110.40758460428214,108.95955402385356,223.14999999999998,26435.887460311165,0.4127047353692698,2515.4012599020184,2314.8108898892388,229.2165562187532,229.00408687353814,29037.934210509415,29007.493620064542,299.46166783079263
5,10000.0,0.38585858585858585,115.54985566804322,114.58339655028377,223.14999999999998,26435.887460311165,0.4127047353692698,2755.169175829928,2711.0303418837307,229.79482003877155,229.78977111290195,29295.141282467313,28772.49645175349,299.46166783079263
6,10000.0,0.403030303030303,120.6921267318043,120.78700806161171,223.14999999999998,26435.887460311165,0.4127047353692698,3005.8502231387592,2801.735327293172,230.3994037649219,230.31201569476696,29565.79105097779,29399.771450983048,299.46166783079263
7,10000.0,0.4202020202020202,125.83439779556538,125.59968703934193,223.14999999999998,26435.887460311165,0.4127047353692698,3267.444401828513,3194.602197147101,231.03030739720433,230.9039958486482,29850.122732350672,30495.447595297417,299.46166783079263
8,10000.0,0.43737373737373736,130.97666885932648,130.96419927907786,223.14999999999998,26435.887460311165,0.4127047353692698,3539.95171189919,3720.4942656943854,231.68753093561878,231.59652371807516,30148.38759456935,30437.60991487598,299.46166783079263
9,10000.0,0.45454545454545453,136.11893992308757,135.48582284720965,223.14999999999998,26435.887460311165,0.4127047353692698,3823.3721533507883,3452.2525288647576,232.37107438016528,232.33644753657933,30460.849169983623,31320.745633459243,299.46166783079263
